,Date,adj_close,close,low,high,open,volume
1532,2021-07-19,5.953961849212647,5.953961849212647,5.926873207092285,6.535455226898193,6.489260196685791,114985411.0
1533,2021-07-20,5.8709821701049805,5.8709821701049805,5.603303909301758,6.057435989379883,5.965781211853027,136372838.0
1534,2021-07-21,6.608770847320557,6.608770847320557,5.69541597366333,6.762730121612549,5.869143009185791,201103512.0
1535,2021-07-22,7.346724033355713,7.346724033355713,6.587799072265625,7.495316982269287,6.603931903839111,244573507.0
1536,2021-07-23,7.925920009613037,7.925920009613037,6.923718929290772,7.925920009613037,7.338901042938232,289374467.0
1537,2021-07-24,8.486323356628418,8.486323356628418,7.546754837036133,8.498176574707031,7.88531494140625,335015178.0
1538,2021-07-25,8.253888130187988,8.253888130187988,7.7917160987854,8.526681900024414,8.47240924835205,266390836.0
1539,2021-07-26,8.519877433776855,8.519877433776855,8.201878547668457,9.66954231262207,8.25424861907959,531438404.0
1540,2021-07-27,9.507802963256836,9.507802963256836,8.073419570922852,9.586731910705566,8.512725830078125,445148628.0
1541,2021-07-28,10.966312408447266,10.966312408447266,9.155367851257324,11.115745544433594,9.525416374206545,569852526.0
1542,2021-07-29,11.044137001037598,11.044137001037598,10.663945198059082,11.749252319335938,10.964592933654783,518532204.0
1543,2021-07-30,10.845376968383787,10.845376968383787,10.03491497039795,11.116220474243164,11.041415214538574,407507692.0
1544,2021-07-31,10.757214546203612,10.757214546203612,10.550418853759766,11.286757469177246,10.83135223388672,307229821.0
1545,2021-08-01,11.928194046020508,11.928194046020508,10.564340591430664,12.151338577270508,10.733288764953612,446563025.0
1546,2021-08-02,12.329427719116213,12.329427719116213,11.19008731842041,12.46603775024414,11.977826118469238,391321193.0
1547,2021-08-03,14.719024658203123,14.719024658203123,11.661676406860352,14.850860595703123,12.33199405670166,890636970.0
1548,2021-08-04,14.51312255859375,14.51312255859375,13.557358741760254,15.563031196594238,14.77108383178711,787381881.0
1549,2021-08-05,14.554635047912598,14.554635047912598,13.744038581848145,15.095709800720217,14.521204948425291,538729733.0
1550,2021-08-06,14.498414039611816,14.498414039611816,14.151008605957031,15.286967277526855,14.558853149414062,453812843.0
1551,2021-08-07,14.588269233703612,14.588269233703612,13.959044456481934,15.6536226272583,14.516195297241213,507386530.0
1552,2021-08-08,13.414520263671877,13.414520263671877,13.142851829528809,14.72900390625,14.622697830200195,363125689.0
1553,2021-08-09,13.969467163085938,13.969467163085938,12.980077743530272,14.350662231445312,13.417085647583008,425165669.0
1554,2021-08-10,16.74758529663086,16.74758529663086,13.737915992736816,16.90717315673828,13.938104629516602,660568977.0
1555,2021-08-11,17.0195369720459,17.0195369720459,16.523120880126953,18.011438369750977,16.712732315063477,584118537.0
1556,2021-08-12,16.568950653076172,16.568950653076172,15.837114334106444,17.169437408447266,17.029293060302734,454806507.0
